State,Region,population,Occupied Housing Units,Govoner Party,Carbon Dioxide emissions (million metric tons),Biomass,Geothermal,Solar,Wind,Hydro,Coal,Petroleum,Gas,Nuclear,Other,Total Generated ,Total Non0Hydro RE (MWh),Total RE Generation (MWh),Non Hydro RE Generation As total %,All RE Generation as Total %,Non Hydro RE Energy,Latitude,Longitude
Alabama,Southeast,4779736,1883791,R,120,3291195.9,0,0,0,11753493.37,55659872.11,163054.22,32369862.93,39716204,7136.53,142960819,3291196,15044689,2.30%,10.52%,3291195.898,32.806671,86.79113
Alaska,Noncontiguous,710231,258058,R,38,4254.75,0,0,3062.44,1204550.39,566821.97,1191884.18,3571100.82,0,0,6541675,7317,1211868,0.11%,18.53%,7317.187,61.370716,152.404419
Arizona,Southwest,6392017,2380990,R,93,159645.59,0,13759.45,9555,6348462.99,39783825.82,67337.47,34852149.55,30661851,533.92,111897121,182960,6531423,0.16%,5.83%,182960.034,33.729759,111.431221
Arkansas,Southeast,2915918,1147084,D,62,1478309.69,0,0,0,4195168.35,25075250.31,87673.59,11368417.1,15169966,24018.74,57398804,1478310,5673478,2.57%,9.87%,1478309.688,34.969704,92.373123
California,Pacific,37253956,12577498,R,372,6062630.32,13022835.75,611763.39,5764637.31,27707085.47,1948279.09,1638018.87,115749546.2,31734676,440323.36,204679796,25461867,53168952,12.43%,25.96%,25461866.76,36.116203,119.681564
Colorado,Rocky Mountains,5029196,1972868,D,93,50527.67,0,16530.48,2942132.64,2058215.46,31641090.35,15552.5,13802364.26,0,33632.81,50560046,3009191,5067406,5.96%,10.04%,3009190.781,39.059811,105.311104
Connecticut,Northeast,3574097,1371087,R,36,753801.14,0,0,0,623122.58,2453497.46,288349.39,9678195.01,16657387,712522,31166875,753801,1376924,2.42%,4.42%,753801.138,41.597782,72.755371
Delaware,Southeast,897934,342297,D,12,138301.82,0,0,0,0,2910909.3,268772.78,1686773.22,0,5876.94,5010634,138302,138302,2.76%,2.76%,138301.819,39.318523,75.507141
District of Columbia,Southeast,601723,266707,D,3,0,0,0,0,0,0,35499,0,0,0,35499,0,0,0.00%,0.00%,0,38.897438,77.026817
Florida,Southeast,18801310,7420802,R,224,4237764.24,0,10225,0,244525.52,54052312.12,8962842.89,117733703.5,29336059,2576794.77,217154227,4247989,4492515,1.96%,2.07%,4247989.241,27.766279,81.686783
Georgia,Southeast,9687653,3585584,R,163,2931302.11,0,0,0,3055512.26,69524670.46,644996.26,20301025.31,31682579,26647.59,128166733,2931302,5986814,2.28%,4.66%,2931302.106,33.040619,83.643074
Hawaii,Noncontiguous,1360301,455338,R,19,294673.7,167591,24.62,213224.16,92854.71,1521169.31,8288819.35,40377.67,0,166283.77,10785018,675513,768368,6.26%,7.12%,675513.481,21.094318,157.498337
Idaho,Rocky Mountains,1567582,579408,R,15,477948.28,107078.86,0,227027.93,9506509.95,72994.13,123.61,1549874.74,0,0,11941557,812055,10318565,6.80%,86.41%,812055.066,44.240459,114.478828
Illinois,Midwest,12830632,4836972,D,226,752801.22,0,0,2761152.22,161279.51,90949010.81,110881.55,4364444.65,94050482,64293.04,193214345,3513953,3675233,1.82%,1.90%,3513953.442,40.349457,88.986137
Indiana,Midwest,6483802,2502154,R,208,263428,0,0,1403191.55,520260.82,108590677.1,154666.22,5390611.15,0,344927.22,116667762,1666620,2186880,1.43%,1.87%,1666619.546,39.849426,86.258278
Iowa,Midwest,3046355,1221576,D,84,175257.73,0,0,7331390.87,737337.45,37491842.11,92859.02,1140567.92,4678931,40.09,51648226,7506649,8243986,14.53%,15.96%,7506648.602,42.011539,93.210526
Kansas,Midwest,2853118,1112096,D,73,0,0,0,2385106.5,12366.25,32242988.29,124354.4,2611084.11,8768548,0,46144448,2385107,2397473,5.17%,5.20%,2385106.5,38.5266,96.726486
Kentucky,Southeast,4339367,1719965,D,144,380464.05,0,0,0,3353204.86,84379767.8,2028174.9,843725.2,0,12629.2,90997966,380464,3733669,0.42%,4.10%,380464.045,37.66814,84.670067
Louisiana,Southeast,4533372,1728360,R,214,2493390.12,0,0,0,1236351,23075070.56,1815818.91,45313617,16782077,390454.44,91106779,2493390,3729741,2.74%,4.09%,2493390.121,31.169546,91.867805
Maine,Northeast,1328361,557219,D,18,3637794.87,0,0,260121,4588720.8,72386.01,480670.2,7481944.6,0,352154.16,16873792,3897916,8486637,23.10%,50.29%,3897915.872,44.693947,69.381927
Maryland,Southeast,5773552,2156411,D,71,539982.46,0,0,0,1948147.63,24414551.41,346731.84,2070846.02,14550119,255891.29,44126270,539982,2488130,1.22%,5.64%,539982.458,39.063946,76.802101
Massachusetts,Northeast,6547629,2547075,D,70,1259418.76,0,67.34,3797.83,1276194.15,9896296.06,864488.55,21242541.52,5396021,770711.52,40709537,1263284,2539478,3.14%,6.32%,1263283.924,42.230171,71.530106
Michigan,Midwest,9883640,3872508,D,164,2250155.24,0,0,289188.22,1320648.33,67822265.75,379468.96,8244774.76,21851009,341303.65,102498814,2539343,3859992,2.50%,3.80%,2539343.461,43.326618,84.536095
